Commune A;Commune B;Distance
MERIGNAC;VANNES;40
MERIGNAC;VENISSIEUX;92
MERIGNAC;LYON;96
MERIGNAC;VILLEURBANNE;93
MERIGNAC;CHAMBERY;77
MERIGNAC;AVIGNON;97
MERIGNAC;SAINT-PAUL;84
MERIGNAC;SAINT-PIERRE;42
BEZIERS;MONTPELLIER;74
BEZIERS;REIMS;93
BEZIERS;PERPIGNAN;83
BEZIERS;ANNECY;65
BEZIERS;MEAUX;86
BEZIERS;NIORT;43
BEZIERS;POITIERS;50
BEZIERS;TAMPON;77
MONTPELLIER;RENNES;95
MONTPELLIER;NANTES;90
MONTPELLIER;CHOLET;29
MONTPELLIER;ANGERS;67
MONTPELLIER;REIMS;50
MONTPELLIER;VENISSIEUX;84
MONTPELLIER;LYON;84
MONTPELLIER;VILLEURBANNE;82
MONTPELLIER;NIORT;49
MONTPELLIER;LA ROCHE-SUR-YON;76
MONTPELLIER;CAYENNE;92
MONTPELLIER;SAINT-ANDRE;47
MONTPELLIER;SAINT-PAUL;67
MONTPELLIER;TAMPON;53
RENNES;GRENOBLE;99
RENNES;SAINT-ETIENNE;46
RENNES;NANTES;14
RENNES;SAINT-NAZAIRE;61
RENNES;CHOLET;83
RENNES;REIMS;71
RENNES;VENISSIEUX;12
RENNES;LYON;10
RENNES;VILLEURBANNE;13
RENNES;AVIGNON;11
RENNES;LA ROCHE-SUR-YON;21
RENNES;CAYENNE;35
RENNES;SAINT-ANDRE;57
RENNES;SAINT-PAUL;57
RENNES;TAMPON;91
TOURS;ROUBAIX;80
TOURS;VILLENEUVE-D'ASCQ;77
TOURS;LILLE;68
TOURS;TOURCOING;79
TOURS;DUNKERQUE;44
TOURS;BEAUVAIS;84
TOURS;CALAIS;72
TOURS;STRASBOURG;94
TOURS;COLMAR;64
TOURS;MULHOUSE;48
TOURS;LE MANS;81
TOURS;AMIENS;52
TOURS;POITIERS;85
TOURS;BELFORT;24
GRENOBLE;SAINT-NAZAIRE;89
GRENOBLE;REIMS;83
GRENOBLE;VANNES;65
GRENOBLE;VENISSIEUX;95
GRENOBLE;LYON;99
GRENOBLE;VILLEURBANNE;96
GRENOBLE;CHAMBERY;46
GRENOBLE;ANNECY;87
GRENOBLE;SAINT-ANDRE;92
GRENOBLE;SAINT-PAUL;70
GRENOBLE;SAINT-PIERRE;64
GRENOBLE;TAMPON;82
SAINT-ETIENNE;NANTES;34
SAINT-ETIENNE;SAINT-NAZAIRE;85
SAINT-ETIENNE;CHOLET;80
SAINT-ETIENNE;LAVAL;60
SAINT-ETIENNE;VENISSIEUX;53
SAINT-ETIENNE;LYON;48
SAINT-ETIENNE;VILLEURBANNE;53
SAINT-ETIENNE;AVIGNON;37
SAINT-ETIENNE;LA ROCHE-SUR-YON;42
SAINT-ETIENNE;ABYMES;73
SAINT-ETIENNE;CAYENNE;15
SAINT-ETIENNE;SAINT-ANDRE;87
SAINT-ETIENNE;SAINT-PAUL;97
NANTES;SAINT-NAZAIRE;72
NANTES;CHOLET;74
NANTES;REIMS;74
NANTES;LAVAL;87
NANTES;VENISSIEUX;19
NANTES;LYON;14
NANTES;VILLEURBANNE;18
NANTES;AVIGNON;13
NANTES;LA ROCHE-SUR-YON;13
NANTES;CAYENNE;22
NANTES;SAINT-ANDRE;58
